Sentence,CEFR
"I need more. ""Well, there isn't any more.""",A1
Tom never did anything Mary had to forgive him for.,A1
Sami and Layla knew each other on Facebook.,A1
Does anyone have any idea what this is all about?,A1
What were you doing there in the first place?,A1
I'm buying flowers because I will pay a visit to my grandmother this evening.,A1
Tom hopes Mary knows she shouldn't do anything John has told her to do.,A1
Why don't you come over for dinner tonight?,A1
Tom and Mary say they don't want to go to school today.,A1
I like this jacket better than that one.,A1
What do you think Tom and Mary are going to want to do?,A1
I knew Tom was going to ask everyone to do that.,A1
I'm not sure if that was a good thing or a bad thing.,A1
I'm pretty sure Tom won't be at Mary's party.,A1
Tom is probably not going to like this game.,A1
Could you find out why Tom wants to do that?,A1
"But for your help, we should not have finished in time.",A1
I will be reading the book when I've finished this job.,A1
Alberto turned to look at Isabella's house.,A1
I lost the piece of paper with the phone number.,A1
We've had all kinds of weather over the past few days.,A1
Tom said Boston is a nice place to visit.,A1
Tom and Mary said that they didn't really want to do that.,A1
Tom didn't tell anyone what he was about to do.,A1
Yanni made some videos about the month of Ramadan in Algeria.,A1
I shouldn't have agreed to let Tom do that.,A1
Tom and Mary did better today than they're ever done before.,A1
"Looking out of the window, I saw a man standing near the door.",A1
He has taught for more than forty years.,A1
I am ashamed to say that the job is not finished.,A1
Tom and Mary told John everything they knew about what had happened.,A1
I know Tom knows that Mary needs to do that.,A1
I thought Tom and Mary were finished doing that.,A1
You're the only one who thinks otherwise.,A1
Leonid understood that Rima was a busy woman.,A1
We didn't have time to do everything we wanted to do.,A1
Tom said that he didn't want to live in Australia.,A1
Tom is that man over there drinking wine.,A1
"We need to come up with something, and fast.",A1
"If I had enough money, I'd buy that for you.",A1
The future is the result of the present.,A1
She was the first girl to win that contest.,A1
Tom didn't know Mary was going to do that yesterday morning.,A1
"I'd like to travel, but I don't have any money.",A1
Many children stay after school for club activities.,A1
Have you seen Taylor Swift's latest music video?,A1
Do you really want me to tell Tom about you and Mary?,A1
Mary says she doesn't think Tom will have to do that.,A1
"If you don't know what a word means, look it up in a dictionary.",A1
I'm afraid there's not much I can do about it.,A1
"The last time I went to China, I visited Shanghai.",A1
Chinese is a language that has four tones.,A1
I know that Tom knew that Mary didn't have to do that.,A1
The room has been transformed now that the walls have been painted.,A1
What are you going to do during your Summer holidays?,A1
Tom is pretty sure that Mary was the one who did that.,A1
I love you and I don't want anything bad to happen to you.,A1
Tom and Mary said they'd think about doing that.,A1
Mary told Tom that she had a lot of fun in Boston.,A1
I think Tom is going to be at the party.,A1
Tom worked in Boston for about three years.,A1
I didn't know Tom was planning on doing that today.,A1
Tom said that it isn't the first time that happened.,A1
I hope it won't be long before I hear from her.,A1
I think that Tom could probably talk Mary into doing that.,A1
I thought I was going to make a lot of money doing that.,A1
Tom and Mary wanted John to help them with their homework.,A1
Gabor grabbed the glass and quickly left.,A1
Yanni called Skura and ended the affair.,A1
Tom and Mary didn't even look at the report that John handed them.,A1
All the women in the room screamed at the same time.,A1
Tom said that he thought that he'd need to do that tomorrow.,A1
You should let Tom know that you won't do that.,A1
Tom didn't know Mary was John's daughter.,A1
Mary says she doesn't know why Tom needs to do that.,A1
Tom probably thought I was going to be at today's meeting.,A1
Tom told me that you were with him yesterday afternoon.,A1
Tom and Mary told John that they were hungry.,A1
I didn't know Tom would be fired for doing that.,A1
I'll be staying here for another three weeks.,A1
"Ethiopia is called ""Ityop'ia"" in Amharic.",A1
I don't like where this conversation's going.,A1
William and his sister haven't spoken in years.,A1
I don't know why Tom doesn't want me to help him.,A1
Sami was begging me to come and stay with him at his house.,A1
"You don't really want to go swimming with us, do you?",A1
"Tom gave Snapchat a try, but it wasn't his thing.",A1
"Why is it you can write a letter in English this well, but can't speak in it?",A1
Tom probably isn't going to do that again today.,A1
I don't really want to spend much more time on this.,A1
Rima and Skura learned Berber at school.,A1
I'm not sure that Tom would let Mary do that.,A1
They probably thought that you were not one of us.,A1
Tom and Mary didn't know how much money they were going to need.,A1
I knew I didn't have enough money to buy what I needed.,A1
"She's beautiful, that's true—but once she opens her mouth, you'll only want to get away!",A1
Let's meet Edgar Degas and look at his pictures with him.,A1
We don't see something like this every day.,A1
Sorry about that. I'm just not feeling well today.,A1
Tom doesn't want his son to turn out like me.,A1
I'll return to Australia the day after tomorrow.,A1
I didn't know that you were Tom's cousin.,A1
I don't think that Tom is going to help us.,A1
I want to live in a French-speaking country.,A1
I had no idea that Tom and Mary were planning on doing that.,A1
"Tom and Mary are planning on going tomorrow, aren't they?",A1
I have someone here who'd like to speak with you.,A1
I don't know why Tom would want to do that.,A1
Tom is the only one that I know who has been to Australia.,A1
Studying Berber is taking too much of Ziri's time.,A1
Tell Tom he that owes me thirty dollars.,A1
Tom asked us not to wear shoes in his house.,A1
Did you find the keys you thought you lost?,A1
He was satisfied with the work he had done.,A1
Tom said he thought I was the only one who needed to do that.,A1
Tom said he didn't think Mary would let John do that.,A1
Mother put the food on the table and told the children to dig in.,A1
Tom told Mary that he was quicker at doing that than she was.,A1
You just make sure you tell Tom what I just said.,A1
I was hoping you'd tell me what you wanted me to do.,A1
There isn't much money in this business.,A1
Tom wanted to know why Mary wasn't happy.,A1
They gave up their plan to climb Mt. Fuji.,A1
Please keep on working even when I'm not here.,A1
They say that they don't like doing that.,A1
Anyone can learn French if they study hard enough.,A1
It's too bad Tom doesn't understand French very well.,A1
What are you planning to do next weekend?,A1
Tom said he didn't want to go to Australia with Mary.,A1
Mary said she thought Tom would be the next one to do that.,A1
I know that Tom doesn't know I want to do that.,A1
I should have known something was going on.,A1
I want to make sure we have enough time to finish this.,A1
You can have any three of these books that you want.,A1
"Is that true? ""Yes, who told you about it?""",A1
Tom asked Mary to go to the hospital to check on John.,A1
I forgot that you didn't like chocolate.,A1
I think that it's time for me to change jobs.,A1
Tom and Mary said that they have to call the police.,A1
This is the biggest apple I've ever seen.,A1
I don't think it's going to be easy to find Tom.,A1
Yanni saw in Walid a model to be followed.,A1
Tom and Mary said they were hoping you could do that.,A1
Who told you that Tom needed to do that?,A1
I've been looking for a better place to live.,A1
Ziri watched Rima do the same thing before.,A1
"Tom wanted to say something, but he didn't.",A1
"Tom and Mary have finished doing that, haven't they?",A1
Tom said he wasn't going to wait for us.,A1
She'll always make sure you feel like nothing compared to her.,A1
Tom wanted Mary to be the first to know.,A1
I knew that Tom had a lot of fun doing that.,A1
Tom and Mary said that they weren't at home last Monday.,A1
Mary said she was good at speaking French.,A1
How was I to know that that was going to happen?,A1
She gave me her word that she'd be home at about nine.,A1
I've heard that carrots are good for your eyes.,A1
Tom and Mary don't want you to do that for them.,A1
"You thought I didn't enjoy doing that, didn't you?",A1
I don't think I'll have the time to do that today.,A1
You won't have to wear this Kabyle dress for very long.,A1
Tom named his first son after his father.,A1
Sami purchased a new bike from Layla's shop.,A1
Tom and Mary are on the same team as I am.,A1
I'm afraid that Tom isn't going to recover.,A1
Tom and Mary were really tired when they got home.,A1
He puts a lot of sugar and cream in his coffee.,A1
I thought that you said you worked all morning.,A1
I haven't ridden my bicycle for over a year.,A1
Mary said she didn't have to go to Boston next week.,A1
I thought that you said that you were ready.,A1
The British Library is one of the world's largest libraries.,A1
Vladimir would occasionally take trips without Anna.,A1
I don't think Tom knows when Mary did that.,A1
He obtained the post through the good offices of a friend.,A1
Tom and Mary told me that they'd here by 2:30.,A1
I need to make sure that Tom doesn't do that.,A1
Tom said that he doesn't know any of Mary's children.,A1
You liked it before. Why don't you like it now?,A1
Fyodor basically stayed at Walid's house the entire time.,A1
"If everyone I've ever known is named Tom, Mary, John, or Alice, then why is my name Bob?",A1
The plane arrived at Itami Airport on time.,A1
Yuri told Martha about this this morning.,A1
Who's the pretty young woman who's with you?,A1
I don't think that that was what Tom said.,A1
I know I have to do that before Tom gets here.,A1
Did you know Mary and Alice were Tom's sisters?,A1
Tom said Mary is willing to help John do that.,A1
The next few years won't be a walk in the park.,A1
"Everyone speaks Berber in Kabylie, Algeria.",A1
Stop spending so much time looking for love and spend more time working on yourself!,A1
"Even if Tom saw us, he wouldn't say anything.",A1
"As she was really busy, she couldn't come.",A1
"If the weather is good on Thursday, we will go to the park.",A1
Tom and Mary said they aren't planning to stay very long.,A1
I don't think that Tom ever used to do that.,A1
I don't think that you can do that by yourselves.,A1
This is Yanni's fourth Ramadan as a Muslim.,A1
Are you sure that you don't need to help Tom?,A1
There's no reason Tom would've run away.,A1
"This is my coat, and that's my father's.",A1
Don't you think we'll find what we're looking for?,A1
"When it rains, the buses are late more often than not.",A1
Kate wants to finish her homework by ten.,A1
I know that Tom and Mary are your friends.,A1
I need to find out where Tom and Mary were yesterday.,A1
Ziri wanted to follow Rima on Instagram.,A1
I will give you as much time as you need for it.,A1
"If you do that, everybody will probably leave.",A1
Tom found it difficult to finish all the work in just one day.,A1
That's got to be some kind of a mistake.,A1
Let's not forget that Tom and Mary are only thirteen years old.,A1
Are you sure you don't want me to take you to the hospital?,A1
Tom is one of the busiest people I know.,A1
Amanda doesn't have to date anyone for this.,A1
I don't think that Tom knows you're here.,A1
The bill added up to three thousand dollars.,A1
How much do you think Tom will give me for this?,A1
I'm doing this so it won't happen again.,A1
"I didn't have any money, so I couldn't go with Tom.",A1
Why would you even want to be a teacher?,A1
I hope Tom and Mary won't wait too long before they do that.,A1
Tom and Mary wanted to see the same movie.,A1
"Because it was very cold yesterday, I stayed at home.",A1
"Please go home and practice, practice, practice.",A1
Tom and Mary are having a party tomorrow evening.,A1
Which will you choose between this and that?,A1
Yanni wanted to have a drink with Skura.,A1
I don't think that Tom has ever studied French.,A1
How did you know that Tom was going to be late?,A1
About how many times a month do you wash your car?,A1
Ziri heard something coming from the bush.,A1
He's having Berber classes in this school.,A1
Tom says he doesn't think Mary would let him do that.,A1
"What do big boys do when they come into a room, Johnny?",A1
Tom and Mary said they're going to do that.,A1
"The last time we went out to eat, she paid for the dinner.",A1
My father wasn't home a lot when I was growing up.,A1
"Tom asked him again: ""Where is my money? Answer me, slave!""",A1
"You had wanted to go there for a long time, hadn't you?",A1
The light went out and we were left in the dark.,A1
Sekkura is our married woman who visits us every Eid.,A1
It wouldn't take so much time for me to do that.,A1
Tom wanted to show Mary a picture of John.,A1
"I came here by bus, but I think that I'll walk back.",A1
Tom told everyone he didn't want to do that.,A1
I would've never gone there without you.,A1
Tom said he thought Mary would be depressed.,A1
"It is true that he is young, but he is wise.",A1
Is that something you're up for right now?,A1
The person who breaks his word breaks also a hope.,A1
It shouldn't take us more than three months to build your house.,A1
Your mother must have been beautiful when she was young.,A1
I know Tom knows that we've never done that before.,A1
Tom said that he hoped that Mary would be here today.,A1
I know that Tom doesn't know Mary didn't do that.,A1
Tom and Mary think that they could probably win.,A1
Tom took a book from the bookshelf and started reading it.,A1
Sami wanted to watch more videos like these.,A1
Tom said that Mary would do that tomorrow.,A1
Tell all your friends about the party we're having.,A1
Construction on the new hospital should begin next month.,A1
I had some time to think about what I had to do.,A1
"Tom, you don't have to talk to me like that.",A1
"He became a Muslim. ""But did he stay a Muslim?""",A1
"If delay had not been made, we had been here again the second time.",A1
"Tom, why don't you come over for a drink tonight?",A1
I know that Tom knows he didn't have to do that.,A1
I have lots of friends I can talk things over with.,A1
Tom and Mary say that they enjoy speaking French.,A1
I should have known it was going to happen.,A1
She has Kabyle dresses. Lots and lots of Kabyle dresses.,A1
Tom told me he's been living in Boston for three years.,A1
Where did they get this information from?,A1
Let's watch the film and then go to bed.,A1
There are going to be a lot more people here soon.,A1
She doesn't have a car. She just uses his.,A1
I hate carrots even more than I hate onions.,A1
Tom came back to the garden and looked around.,A1
I thought you didn't know how to speak French.,A1
I always tell my students to study harder.,A1
"Last weekend, I visited a friend in Boston.",A1
I have to get some money out of the bank.,A1
"I'm old enough to do that on my own, I think.",A1
Tom said that Mary was planning on getting there early.,A1
I can't find the page that I'm looking for.,A1
I know a lot of people who can speak French.,A1
Tom said he hasn't met any of Mary's brothers.,A1
I got off the train at the wrong station.,A1
"Tom didn't want to go, but Mary made him go.",A1
I thought that you said you'd do that for sure.,A1
I think you should look at this once more.,A1
Tom has been living in Chicago for a year.,A1
Tom usually sits in the back of the classroom.,A1
All Algerians fast during Ramadan including in Kabylie.,A1
We've talked about this many times before.,A1
Tom didn't tell Mary he couldn't speak French.,A1
I thought I'd forgotten to close the windows.,A1
Mary says she didn't plan to stay so long.,A1
Ziri was just listening to the surroundings.,A1
Would you like to book a trip to Australia?,A1
Everybody thought that Tom was from Australia.,A1
It's one of the biggest regrets of my life.,A1
Tom and Mary told me that they plan to go.,A1
"Tom and Mary are going with you, aren't they?",A1
Tom was satisfied with the work Mary had done.,A1
Is there something you need for me to do?,A1
I don't have time to eat lunch right now.,A1
I don't like any of the songs that you sing.,A1
"I don't know about the others, but as for me, I'm for it.",A1
"If you're going to have to do that, then do it today.",A1
Tom and Mary are trying to do something.,A1
Tom said he didn't have time to help you.,A1
We used to discuss everything and now we can't talk about anything.,A1
What will the world be like in 200 years?,A1
Tom didn't get home until after 2:30 this morning.,A1
This isn't the first time that Tom has lied.,A1
Tom and Mary washed the dishes together.,A1
Tom asked me if I would be willing to help.,A1
I think that it's really important for you to go to Boston.,A1
"In the morning there were three pieces, and now there's one.",A1
Tom probably isn't going to go to Boston next week.,A1
I didn't get home until way after midnight.,A1
Tom only studies about half as much as Mary.,A1
Mary is hoping you can do that with her.,A1
"I arrived late, so I didn't hear everything.",A1
"If you don't like doing that, then don't do it.",A1
"I can read English, but I can't speak it.",A1
Tom said that he didn't think Mary did that very often.,A1
I know that Tom isn't a very good tennis player.,A1
Mary told Tom that she didn't think John was through doing that.,A1
"Go to the Church, you'll find Jesus there.",A1
It's even more beautiful than I remembered.,A1
Mary isn't as beautiful as her younger sister.,A1
A true friend is someone who'll help you move.,A1
"It was too cold a day to go out, so we stayed at home all day.",A1
Tom cannot help you even if he wanted to.,A1
Tom said there wasn't anything he could do to help Mary.,A1
Tom asked Mary what time she usually got up.,A1
"If you say that, you are going to lose your face.",A1
Tom said that he didn't think that Mary would need to do that.,A1
Tom and Mary said that they didn't want anything.,A1
"Because the traffic light turned red, he stopped his car.",A1
Please tell me the way to the post office.,A1
Mennad started to self-harm a few months later.,A1
"On Saturdays, Gustavo visits his grandparents.",A1
"If I can get through with my exams, I'll take a long vacation.",A1
Tom and Mary told me they tried to do that.,A1
They said that they weren't going to win.,A1
Tom doesn't speak French well enough to do that job.,A1
"You know there's no way I can do that without some help, don't you?",A1
"He not only speaks French, but he speaks Spanish, too.",A1
I have visited the university's Botanical Garden only a few times.,A1
Tom and Mary told me they'd never do that.,A1
He said he would be back before midnight.,A1
"Tom does a lot of business in Boston, doesn't he?",A1
Tom and Mary don't know who they should ask to help them.,A1
I know Tom didn't know why I had to do that.,A1
What makes you think she had anything to do with it?,A1
Tom didn't know Mary didn't know how to speak French.,A1
Yanni has lots of stories about Algiers.,A1
I was going to call and tell Tom everything.,A1
Tom and Mary aren't going to let John die.,A1
There's no way you're going out dressed like that.,A1
Tom wrote an article about it in the school newspaper.,A1
I thought that you said that you wanted to do that today.,A1
I usually take a bath before going to bed.,A1
Please tell me how you found out that Tom did that.,A1
"In half a mile, turn left on Main Street.",A1
I hear Tom's friend can speak 13 languages.,A1
Ziri began to walk away facing us the entire time.,A1
How many animals are there on this farm?,A1
Tom and I bought our plane tickets three months in advance.,A1
Tom and Mary said that they were very sad.,A1
Tom said that a woman answered the phone.,A1
Tom and Mary said that they'd prefer not to do that.,A1
My grandfather's picture is on the wall.,A1
I can't imagine how Tom has put up with Mary all these years.,A1
I'm probably not the only one who enjoyed doing that.,A1
Boldi never leaves the house during the day.,A1
Tom thinks that Mary doesn't get enough sleep.,A1
I'll call and let Tom know we're on our way.,A1
"Tomorrow, I'm going to study at the library.",A1
Ziri drove the car back to the car wash.,A1
Give us a call as soon as you get to Australia.,A1
"If I had more money, I'd buy one of those, too.",A1
"I'm not hungry, but I always want to eat something.",A1
Are you the only one who has a key to this door?,A1
This is the same hotel that I stayed in three years ago.,A1
I don't think Tom will permit me to do that.,A1
"Much as I'd like to stay, I've got to go tomorrow.",A1
I think this is much better. What do you think?,A1
We shouldn't have followed Tom's advice.,A1
The students were told to turn in reports by the next day.,A1
"Hey! ""What?"" ""I love you."" ""No. You don't love me.""",A1
I want to find out when Tom and Mary are planning to finish doing that.,A1
"Who cooks better, your mother or your father?",A1
Yanni started speaking in Berber which is not the language of my country.,A1
"I waited for Mary for three hours, but she never showed up.",A1
You should go to the police and check it out yourself.,A1
Mary said she doesn't know any of Tom's children.,A1
Mary said she'd probably do that the day after tomorrow.,A1
We went swimming in the river yesterday.,A1
Tom is working hard to improve his French.,A1
I don't think Tom will be doing that with Mary.,A1
Algeria is one of Africa's richest countries.,A1
Would you like to go see a movie or something?,A1
Tom said he thinks that Mary can't do that.,A1
Mary told me she didn't have a passport.,A1
Mennad could tell that by Baya's body language.,A1
I hope Tom didn't do what Mary asked him to do.,A1
Do you think that you're strong enough to do that?,A1
Tom's family lived in Boston up until the end of last year.,A1
He has to stay home until eight in the evening.,A1
Tom wants to explain everything to Mary.,A1
Tom and Mary said they'd be in a meeting until 2:30.,A1
"Tom likes banana cake. On the other hand, Mary likes chocolate cake.",A1
I think Tom should learn to speak French.,A1
I didn't think that Tom really had to do that yesterday.,A1
The streets of Dhaka are very dirty and bad.,A1
I know Tom isn't planning to go to Australia with you.,A1
Tom works at one of the city's most popular restaurants.,A1
I didn't have time to take a shower today.,A1
Tom and Mary said they didn't want to stay at an expensive hotel.,A1
Tom told everyone that Mary could do that.,A1
It's so sad to see others die like that.,A1
"Speaking of sports, can you play tennis?",A1
"He was sitting there, delighted with my failure.",A1
"If you think I'm going to help you do that, you're wrong.",A1
Tom thinks that I need to eat more vegetables.,A1
I heard that Tom is planning on going to Boston next weekend.,A1
Tom asked Mary how she'd broken her leg.,A1
Tom said he'd scale the fish if Mary cooked them.,A1
Tom said that he didn't feel like dancing.,A1
I'll have two chicken empanadas with Catupiry and açai juice.,A1
Tom and Mary said that they'd never come back here.,A1
She was approaching thirty when I first met her.,A1
I don't even know where Tom is right now.,A1
He started leaving love notes on her desk.,A1
I walked about for over an hour looking for his house.,A1
The mouth of the river is about five kilometres to the north.,A1
Karl has never seen Amelia in this class.,A1
It'll be difficult to complete this report by Monday.,A1
Tom hopes that he doesn't have to do that again.,A1
I think that Tom had to go to Australia.,A1
Tom told me that he first met Mary in Australia when he was a teenager.,A1
It's as good a time as any to talk about this.,A1
He filled his glass and then filled one for her.,A1
Tom has agreed to talk to Mary about that.,A1
Tom had no one to discuss his problems with.,A1
Something very bad happened to Mennad in high school.,A1
Ziri only planned on being in Algiers for a few weeks.,A1
What if the same thing happened to Mark?,A1
Tom and Mary said that they could've done that.,A1
I think that Tom could teach Mary how to drive.,A1
There are some things that you should never try doing.,A1
Tom said that he'd assumed that Mary would do that.,A1
Tom lost some books from the school library.,A1
This is something I'm gonna have to think about.,A1
Tom said that he didn't know how to play the guitar.,A1
How do we know that he is who he says he is?,A1
I want to make sure we get there on time.,A1
Tom told me that I was thirty minutes late.,A1
He is one of the greatest scientists in the world.,A1
"Tom works very hard, but not as hard as Mary.",A1
Tom said that he didn't think Mary wanted to do that at school.,A1
Tom will be waiting for you when you get there.,A1
Tom says he doesn't know if he has to do that.,A1
Tom said that Mary was too tired to help you do that.,A1
There's still enough time for these tears.,A1
"I don't drink coffee, but I'd love a cup of tea.",A1
"He went all the way to see her, only to find she was away.",A1
Tom said Mary is going to ask John to do that.,A1
I think that Tom isn't going to do that today.,A1
Tom told me that he thought Mary was in.,A1
He named his son John after his own father.,A1
I think that you should buy yourself something to eat.,A1
I don't think that children should drink beer.,A1
I think that Tom is too old to be dating my daughter.,A1
Children don't like to go out in the dark.,A1
Kalman has found something down the river.,A1
He went to Kabylie and brought his sister back home in Algiers.,A1
I suspect Tom will come to Boston in the near future.,A1
Did you tell Tom and Mary what I told you to tell them?,A1
I thought that you'd be in Boston this week.,A1
Tom said that Mary wanted to do that tomorrow.,A1
This is probably the most boring book in the world.,A1
Tom didn't need to tell me what had happened.,A1
What is the second largest country in the world?,A1
"Excuse me, which way is the post office?",A1
I think you should buy yourself something to eat.,A1
Tom did better today than he's ever done before.,A1
Sami gave Layla some change for the bus.,A1
I don't need to be rich in order to be happy.,A1
Tom said that he likes this time of year.,A1
Tom hopes Mary knows she has to do everything John wants her to do.,A1
Tom wouldn't let Mary do anything she wanted to do.,A1
Tom and Mary told me they thought it would rain all day.,A1
How much time will it take to get to Boston?,A1
Tom said that Mary was having a good time in Australia.,A1
This song was very popular in the 1950s.,A1
I spent the best part of the day reading.,A1
Tom and Mary said that they had to stay home.,A1
Michael has always thought we were close friends.,A1
Tom doesn't remember what happened last night.,A1
The doctors couldn't find anything wrong with Tom.,A1
The committee were discussing the problem.,A1
I've just started learning how to do that.,A1
Mary gets to do anything she wants to do.,A1
I think that Tom wanted Mary to do that.,A1
Tom said that he'd help me do that as well.,A1
I didn't think that Tom would be in Australia this week.,A1
How do you make sure people do what you ask them to do?,A1
Please be quiet. I'm trying to get some sleep.,A1
"If you're ever in the area, give me a call.",A1
I'll help you in the garden after I finish my homework.,A1
Ziri made money dancing for the tourists.,A1
I think Tom would like to be the next one to do that.,A1
I just want it to be over as soon as possible.,A1
Tom doesn't go to the office on Saturday.,A1
I'm going to see the doctor this afternoon.,A1
Tom said he was happy that Mary did that.,A1
I couldn't believe that he had just done that to her.,A1
Tom let us know that he wouldn't do that.,A1
She did not visit me on Sunday but on Monday.,A1
"Everybody, this is Tom. Tom, this is everybody.",A1
I told Tom he didn't have time to do that.,A1
Why didn't you tell me you couldn't do it without my help?,A1
"Aren't you going to eat? ""I'm not hungry.""",A1
Tom and John both said they were in love with Mary.,A1
Tom worked his way up through the ranks.,A1
They're in their offices at their desks.,A1
"They did not move, she said to her husband.",A1
Tom has decided that he isn't going to say yes.,A1
Tom and Mary told me that they'd be there.,A1
They say dogs hear better than we do. Is that true?,A1
Donald asked Jessica to go to a party with him.,A1
We all know that Tom is in love with Mary.,A1
How many dates did you go on last month?,A1
Tom wasn't the one who told me about that.,A1
"Radosław, Marek and Maciej like playing games on the PlayStation 2.",A1
The only problem in this plan is Vladimir.,A1
Maybe Tom should go live with his grandparents in Boston.,A1
"I was the one who taught Tom how to say ""thank you"" in French.",A1
Mary had a good time when she was in Boston.,A1
I have something I need to discuss with Tom.,A1
What happened between us is something I'll never forget.,A1
Do you happen to know where Tom went to high school?,A1
The Chinese are opening businesses in Algeria.,A1
Those who know me know that I can't do that.,A1
Did Mary say she thought we had to do that?,A1
Tom said he thought Mary probably wouldn't win.,A1
Robert didn't comfort Sandra because he was never around.,A1
All you have to do is to wait for me to return.,A1
Tom doesn't have to explain everything to Mary.,A1
I visited my friends Tom and Mary yesterday.,A1
"Father is good at cooking. As for Mother, she is good at eating.",A1
Oleg lived a quiet life with his mother.,A1
Tom and Mary said that they weren't the only ones who didn't need to do that.,A1
Tom told me that he thought Mary was still doing that.,A1
"If anyone has an idea, I'd love to hear it.",A1
I had no idea that you didn't know how to swim.,A1
We just want to ask Tom a few questions.,A1
Tom said he's not sure if Mary can swim.,A1
Should we tell Tom he doesn't need to do that?,A1
Tom didn't quite understand why everybody was looking at him.,A1
Tom didn't tell his friends that he was going to Australia.,A1
Tom probably isn't going to walk to school tomorrow.,A1
It isn't healthy to spend too much time together.,A1
Both Tom and Mary don't know how to drive.,A1
"And if you see Tom, say hello to him for me.",A1
Tom didn't say what he was planning to do.,A1
Tom couldn't have done that without Mary.,A1
I know Tom won't be doing that with me this afternoon.,A1
I don't have any plans for next weekend.,A1
Tom wasn't the only one that was laughing.,A1
Tom said that he learned a lot from Mary.,A1
Maybe Tom should've told Mary about what happened.,A1
I think that Tom is going to do that in Australia next week.,A1
Tom went home as soon as the concert was over.,A1
Mary told me that she was interested in doing that.,A1
Tom isn't going to get away with that again.,A1
I thought that you said you wanted to go swimming with us.,A1
I'd like to know why I shouldn't do that.,A1
Don't tell me that you've never been to Australia.,A1
It is difficult for me to play the piano.,A1
Hamburg is Germany's second largest city.,A1
Tom and Mary couldn't speak French when I first met them.,A1
Tom and Mary have finished their homework.,A1
"Tom, Mary, John and a few other people plan on going swimming this afternoon.",A1
Tom said that he hopes that you try your best to do that.,A1
Ziri drove to the small town of Tigzirt.,A1
"Nigeria is known for being a large country, and one of the richest in Africa.",A1
Why did you tell Mary Tom didn't like her?,A1
Tom parked the car across from Mary's house.,A1
Women don't want to know what you think. They want to know what you feel.,A1
Did Tom say that he didn't think we should do that?,A1
Mary says she hopes Tom won't have to do that.,A1
Why don't you just call Tom and tell him you won't do that?,A1
"You knew Tom wouldn't do that, didn't you?",A1
You look real pretty in this Kabyle dress.,A1
There's little hope that Tom will recover.,A1
I didn't think that we needed to do that yesterday.,A1
Tom and I aren't going to see each other again for a long time.,A1
Tom can't play the piano as well as he used to.,A1
I'm excited at the prospect of doing that.,A1
"Tom said that he waited for a long time, but Mary never showed up.",A1
Tom said he didn't believe that you did that.,A1
No one says that kind of thing any more.,A1
Tom was still doing that when I got there.,A1
I know Tom will have to help Mary do that.,A1
He bought his daughter a new computer for her birthday.,A1
Tom and Mary will help you if you ask them to.,A1
"I can hear you, but I can't understand you.",A1
"I lived in Japan for 2 years, but now I'm living in California.",A1
There is a difference between listening and waiting for your turn to speak.,A1
Janos asked Martha to read that note later.,A1
I cannot see you without thinking of your late father.,A1
Don't you think you'd better do it and have it over with?,A1
Yanni purchased his first home in Algiers in 2004.,A1
I didn't know that Tom wouldn't do that yesterday.,A1
It's sometimes hard to know what Tom really wants.,A1
It took us more than three hours to get to Boston.,A1
Sami has lived here for a really long time.,A1
Tom says he's always been interested in sports.,A1
Why don't we see if Tom and Mary want to go with us?,A1
Nothing like this has happened before in Germany.,A1
Tom isn't the only one who saw what happened.,A1
"Tom and Mary looked around, but they didn't see anyone.",A1
"Last weekend, we went to the beach for a swim.",A1
I don't think I'd ever want to live in Boston.,A1
I have a feeling something very bad is going to happen.,A1
I was ten years old when it all started.,A1
I didn't stay as long as I thought I would.,A1
I didn't know the actor until I saw the movie.,A1
"If Tom goes, Mary will probably go, too.",A1
Tom never said anything about that to anyone.,A1
Tom and Mary aren't going to wait for us.,A1
Tom is planning on staying there as long as he can.,A1
I should have told Tom that I love Mary.,A1
This is the first time that I've ever seen anyone do that.,A1
Tom doesn't understand why Mary did that.,A1
I think Tom will be finished doing that by 2:30.,A1
I don't think that there's any harm in telling you about what we did.,A1
The watch you gave me doesn't keep time.,A1
I didn't want to be late for my first class.,A1
Can you remember when the first time you came here was?,A1
I parted with a friend at the train station.,A1
Tom and Mary were planning on doing that together.,A1
Tom often goes to the park in the morning.,A1
Ziri lives in a different part of Algeria.,A1
Did you know that Tom and Mary aren't Canadians?,A1
Tom said that he didn't want to let Mary win.,A1
What do you call the last day of the year?,A1
Tom has no friends who are willing to help him do that.,A1
Your advice has helped me see the light regarding my future.,A1
"When my wife finds out, she won't be happy.",A1
Tom and Mary said that they're not planning on going.,A1
Please stay in Boston for a few more days.,A1
"I'm not sure, but I think I know what to do.",A1
Did you tell Tom you didn't know how to do that?,A1
Tom doesn't like being told to clean his room.,A1
William is the type of person who loves to learn new things.,A1
He didn't think he was good enough for her.,A1
I know Tom didn't know that he didn't need to do that.,A1
Tom said that he thought that Mary wasn't very busy.,A1
I know that Tom knows that he didn't need to do that.,A1
I've heard Tom is planning to move to Boston.,A1
Tom didn't know how to answer the question.,A1
Mary said she didn't want to do that here.,A1
He didn't have the courage to speak to her.,A1
I want to know if Tom has to do that today.,A1
Have you heard the news about Tom and Mary?,A1
Tom assumed that everyone knew he wasn't going to do that.,A1
The clocks have always been too fast for as long as I can remember.,A1
Tom booked everything: it will be a wonderful party.,A1
Mary learned from her parents that she shouldn't do that.,A1
